id,text,isManagementQuestion,personalityAxis,personalityType,isOpposite
1,意思決定の際は、将来的なリスクよりも、まず短期的な影響や関係者の感情に配慮することを優先したい。,TRUE,,,TRUE
2,理屈やデータも大事だが、最終的には自分の直感や「これだ！」という感覚を信じて判断することが多い。,,2,A,
3,既存の常識やルールにとらわれず、根本から違うやり方や発想を試してみたいと思うことが多い。,,1,A,
4,急な市場の変化や予期せぬ事態に応じて、計画を大胆に変更し、迅速に行動を起こすことに抵抗がない。,TRUE,,,
5,チーム内に意見の対立が起きた際は、一方的に結論を出すのではなく、それぞれの立場や考えを理解し合う場を設けたい。,,3,B,
6,メンバーを信頼し、仕事の進め方や判断をできるだけ任せることで、自主性や成長を促したい。,,3,B,
7,チームで重要な意思決定をする際には、メンバー全員が納得できるよう、丁寧に意見を聞き、対話を重ねることを重視する。,,3,B,
8,プレッシャーの強い場面では、決断を下すことに大きなストレスを感じ、周囲の意見や前例に頼りたくなる。,TRUE,,,TRUE
9,目標を達成するためには、具体的なステップに落とし込んだ計画を立て、それに沿って進捗を管理することが効果的だと思う。,,2,B,
10,仕事においては、場当たり的な対応よりも、再現性のある仕組みや標準化されたプロセスを重視する。,,1,B,
11,最終的な方針決定は、様々な意見を参考にしつつも、リーダーが責任を持って決めるべきだと考える。,,3,A,
12,議論が停滞したり方向性が定まらなかったりする時は、自分が率先して意見を述べ、場をリードする役割を担うことが多い。,,3,A,
13,事業をやるなら、業界のゲームチェンジを起こすような、大きな変化やインパクトを狙いたい。,,1,A,
14,顧客が本当に求めていることは何かを探求し、プロダクトやサービスを通じてその期待に応えることに強い関心がある。,,4,A,
15,行動に移る前に、潜在的なリスクを洗い出し、可能な限り事前に対応策を準備しておきたい。,,2,B,
16,自身の役割や必要なスキルが変化し続けても、常に新しいことを学び、自己変革していくことに強い意欲を持っている。,TRUE,,,
17,情報が不十分で先行き不透明な状況でも、大胆に決断し、行動を起こすことを厭わない。,,2,A,
18,世の中にまだない、全く新しい価値やサービスをゼロから生み出すことにワクワクする。,,1,A,
19,多くの選択肢があると、それぞれの詳細に気を取られてしまい、全体像を捉えて進むべき方向を絞り込むのが難しいと感じる。,TRUE,,,TRUE
20,会社の危機において、事業と従業員を守るためならば、最終的な責任者として個人的な犠牲を払う覚悟がある。,TRUE,,,
21,急成長も魅力的だが、事業の持続可能性や安定した収益基盤を築くことも同じくらい大切だと考える。,,1,B,
22,チームを率いる上では、明確なビジョンや目標を掲げ、メンバーを力強く導いていくことが重要だ。,,3,A,
23,事業の成功のためには、まず市場で勝ち抜くことが最重要であり、社内体制はその後に整備するものだと考える傾向がある。,,4,A,
24,世の中のトレンドや競合の動向を常に把握し、自社の事業戦略にどう活かせるかを考えるのが好きだ。,,4,A,
25,チームメンバーの育成やキャリア開発を支援し、個々の能力が最大限に発揮される組織づくりに関心がある。,,4,B,
26,困難な状況が続くと、精神的に消耗しやすく、粘り強く解決策を探求するよりも、諦めや無力感を感じてしまうことがある。,TRUE,,,TRUE
27,「良いかもしれない」と感じたら、完璧な計画を待つより、まず小さく試してみて手応えを見たい。,,2,A,
28,新しい取り組みを始める前は、関連情報を広く集め、メリット・デメリットを比較検討する時間を十分に取りたい。,,2,B,
29,自らの判断が短期的に批判されたり、失敗と見なされたりしても、長期的な成功を信じて粘り強く挑戦し続けることができる。,TRUE,,,
30,自ら方向性を示して周囲を巻き込んでいくよりは、明確に示された目標に向かって努力する方が、自分には合っていると感じる。,TRUE,,,TRUE
31,まだ市場に受け入れられるか分からない新しいアイデアや、達成困難に見える高い目標にも、積極的に挑戦したいと思う。,TRUE,,,
32,既にあるものをより良く改善したり、効率化したりするプロセスに、地道だが確かなやりがいを感じる。,,1,B,
33,メンバーがいきいきと働き、互いに協力し合えるような、良い組織文化や職場環境を創り出すことに力を注ぎたい。,,4,B,
34,事業の成功のためには、優秀な人材が定着し、チームとして機能する組織基盤を長期的な視点で築くことが不可欠だと考える。,,4,B,